Step,GeneCountMin,GeneCountMax,GeneCountAvg,GeneCountSE,PopMin,PopMax,PopAvg,PopSE,SpeciesMin,SpeciesMax,SpeciesAvg,SpeciesSE,GeneCount1,Pop1,Species1,GeneCount2,Pop2,Species2,GeneCount3,Pop3,Species3,GeneCount4,Pop4,Species4,GeneCount5,Pop5,Species5,GeneCount6,Pop6,Species6,GeneCount7,Pop7,Species7,GeneCount8,Pop8,Species8,GeneCount9,Pop9,Species9,GeneCount10,Pop10,Species10
1,5,5,5,0,100,101,100.1,0.385616,99,100,99.6,0.154919,5,101,99,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,100,99,5,100,99,5,100,100,5,100,99
2,5,5,5,0,100,102,100.3,0.383014,99,100,99.6,0.154919,5,102,99,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,100,99,5,100,99,5,100,100,5,101,99
3,5,5,5,0,100,102,100.4,0.355949,99,100,99.6,0.154919,5,102,99,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,100,99,5,101,99,5,100,100,5,101,99
4,5,5,5,0,100,103,100.6,0.417971,99,100,99.6,0.154919,5,103,99,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,100,99,5,102,99,5,100,100,5,101,99
5,5,5,5,0,100,104,101,0.541018,99,100,99.6,0.154919,5,104,99,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,100,99,5,104,99,5,100,100,5,102,99
6,5,5,5,0,100,104,101,0.541018,99,100,99.6,0.154919,5,104,99,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,100,99,5,104,99,5,100,100,5,102,99
7,5,5,5,0,100,105,101.4,0.693325,99,100,99.6,0.154919,5,105,99,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,100,99,5,105,99,5,100,100,5,104,99
8,5,5,5,0,100,106,101.5,0.735323,99,100,99.6,0.154919,5,106,99,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,101,99,5,105,99,5,100,100,5,103,99
9,5,5,5,0,100,106,101.8,0.802932,99,100,99.6,0.154919,5,106,99,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,103,99,5,106,99,5,100,100,5,103,99
10,5,5,5,0,100,108,102,0.929892,99,100,99.6,0.154919,5,106,99,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,103,99,5,108,99,5,100,100,5,103,99
11,5,5,5,0,100,108,102,0.929892,98,100,99.5,0.214476,5,106,98,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,103,99,5,108,99,5,100,100,5,103,99
12,5,5,5,0,100,108,101.8,0.864118,97,100,99.3,0.331662,5,105,97,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,103,99,5,108,99,5,100,100,5,102,98
13,5,5,5,0,99,106,101.3,0.617009,91,100,98.3,0.994987,5,99,91,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,104,99,5,106,95,5,100,100,5,104,98
14,5,5,5,0,99,105,100.9,0.471911,90,100,97.6,1.34313,5,99,91,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,105,99,5,103,90,5,100,100,5,102,96
15,5,5,5,0,89,105,98.6,1.44316,80,100,95,2.82064,5,89,80,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,105,99,5,96,83,5,100,100,5,96,88
16,5,5,5,0,69,100,90.2,5.23304,57,100,86.4,6.8577,5,73,62,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,80,74,5,69,57,5,100,100,5,80,71
17,5,5,5,0,0,15,4.1,30.6939,0,1,0.4,31.3702,5,12,1,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,5,1,5,15,1,5,0,0,5,9,1
18,5,5,5,0,0,16,4.4,30.6044,0,1,0.4,31.3702,5,12,1,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,6,1,5,16,1,5,0,0,5,10,1
19,5,5,5,0,0,18,4.6,30.5491,0,1,0.4,31.3702,5,12,1,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,6,1,5,18,1,5,0,0,5,10,1
