Step,GeneCountMin,GeneCountMax,GeneCountAvg,GeneCountSE,PopMin,PopMax,PopAvg,PopSE,SpeciesMin,SpeciesMax,SpeciesAvg,SpeciesSE,GeneCount1,Pop1,Species1,GeneCount2,Pop2,Species2,GeneCount3,Pop3,Species3,GeneCount4,Pop4,Species4,GeneCount5,Pop5,Species5,GeneCount6,Pop6,Species6,GeneCount7,Pop7,Species7,GeneCount8,Pop8,Species8,GeneCount9,Pop9,Species9,GeneCount10,Pop10,Species10
1,5,5,5,0,100,101,100.1,0.438406,98,100,99.3,0.202485,5,101,99,5,100,100,5,100,100,5,100,100,5,100,100,5,100,99,5,100,98,5,100,99,5,100,99,5,100,99
2,5,5,5,0,100,102,100.3,0.4245,98,100,99.3,0.202485,5,102,99,5,100,100,5,100,100,5,100,100,5,100,100,5,100,99,5,100,98,5,100,99,5,100,99,5,101,99
3,5,5,5,0,100,102,100.4,0.395221,98,100,99.3,0.202485,5,102,99,5,100,100,5,100,100,5,100,100,5,100,100,5,100,99,5,100,98,5,101,99,5,100,99,5,101,99
4,5,5,5,0,100,103,100.6,0.447437,98,100,99.3,0.202485,5,103,99,5,100,100,5,100,100,5,100,100,5,100,100,5,100,99,5,100,98,5,102,99,5,100,99,5,101,99
5,5,5,5,0,100,104,101,0.547905,98,100,99.3,0.202485,5,104,99,5,100,100,5,100,100,5,100,100,5,100,100,5,100,99,5,100,98,5,104,99,5,100,99,5,102,99
6,5,5,5,0,100,104,101,0.547905,98,100,99.3,0.202485,5,104,99,5,100,100,5,100,100,5,100,100,5,100,100,5,100,99,5,100,98,5,104,99,5,100,99,5,102,99
7,5,5,5,0,100,105,101.5,0.657419,98,100,99.3,0.202485,5,105,99,5,100,100,5,100,100,5,100,100,5,100,100,5,100,99,5,100,98,5,105,99,5,101,99,5,104,99
8,5,5,5,0,100,106,101.7,0.698713,98,100,99.3,0.202485,5,106,99,5,100,100,5,100,100,5,100,100,5,100,100,5,100,99,5,101,98,5,105,99,5,102,99,5,103,99
9,5,5,5,0,100,106,102.1,0.75776,98,100,99.3,0.202485,5,106,99,5,100,100,5,100,100,5,100,100,5,100,100,5,101,99,5,103,98,5,106,99,5,102,99,5,103,99
10,5,5,5,0,100,108,102.5,0.908955,98,100,99.3,0.202485,5,106,99,5,100,100,5,100,100,5,100,100,5,100,100,5,103,99,5,103,98,5,108,99,5,102,99,5,103,99
11,5,5,5,0,100,108,102.5,0.908955,98,100,99.2,0.238747,5,106,98,5,100,100,5,100,100,5,100,100,5,100,100,5,103,99,5,103,98,5,108,99,5,102,99,5,103,99
12,5,5,5,0,100,108,102.5,0.915533,97,100,99,0.330151,5,105,97,5,100,100,5,100,100,5,100,100,5,100,100,5,105,99,5,103,98,5,108,99,5,102,99,5,102,98
13,5,5,5,0,99,106,101.9,0.623057,91,100,98,0.963846,5,99,91,5,100,100,5,100,100,5,100,100,5,100,100,5,104,99,5,104,98,5,106,95,5,102,99,5,104,98
14,5,5,5,0,99,105,101.6,0.51788,90,100,97.3,1.30422,5,99,91,5,100,100,5,100,100,5,100,100,5,100,100,5,104,99,5,105,98,5,103,90,5,103,99,5,102,96
15,5,5,5,0,89,106,99.4,1.5685,80,100,94.5,2.7837,5,89,80,5,100,100,5,100,100,5,100,100,5,100,100,5,106,99,5,106,98,5,96,83,5,101,97,5,96,88
16,5,5,5,0,69,100,87.6,5.64502,57,100,82.3,7.39736,5,73,62,5,100,100,5,100,100,5,100,100,5,100,100,5,85,78,5,81,71,5,69,57,5,88,84,5,80,71
17,5,5,5,0,0,15,5.6,30.2509,0,2,0.7,31.1807,5,12,1,5,0,0,5,0,0,5,0,0,5,0,0,5,7,1,5,10,2,5,15,1,5,3,1,5,9,1
18,5,5,5,0,0,16,6,30.1304,0,2,0.7,31.1807,5,12,1,5,0,0,5,0,0,5,0,0,5,0,0,5,8,1,5,11,2,5,16,1,5,3,1,5,10,1
19,5,5,5,0,0,18,6.5,29.9827,0,2,0.7,31.1807,5,12,1,5,0,0,5,0,0,5,0,0,5,0,0,5,11,1,5,11,2,5,18,1,5,3,1,5,10,1
20,5,5,5,0,0,18,6.9,29.8629,0,2,0.7,31.1807,5,13,1,5,0,0,5,0,0,5,0,0,5,0,0,5,11,1,5,13,2,5,18,1,5,3,1,5,11,1
21,5,5,5,0,0,19,7.4,29.7119,0,2,0.7,31.1807,5,12,1,5,0,0,5,0,0,5,0,0,5,0,0,5,12,1,5,15,2,5,19,1,5,4,1,5,12,1
22,5,5,5,0,0,22,8.1,29.5105,0,2,0.7,31.1807,5,13,1,5,0,0,5,0,0,5,0,0,5,0,0,5,12,1,5,16,2,5,22,1,5,4,1,5,14,1
23,5,5,5,0,0,23,8.5,29.4005,0,2,0.7,31.1807,5,14,1,5,0,0,5,0,0,5,0,0,5,0,0,5,12,1,5,18,2,5,23,1,5,3,1,5,15,1
24,5,5,5,0,0,25,8.7,29.3541,0,2,0.7,31.1807,5,14,1,5,0,0,5,0,0,5,0,0,5,0,0,5,11,1,5,19,2,5,25,1,5,2,1,5,16,1
25,5,5,5,0,0,29,9.3,29.1916,0,2,0.7,31.1807,5,16,1,5,0,0,5,0,0,5,0,0,5,0,0,5,12,1,5,18,2,5,29,1,5,2,1,5,16,1
26,5,5,5,0,0,30,9.3,29.1977,0,2,0.7,31.1807,5,17,1,5,0,0,5,0,0,5,0,0,5,0,0,5,11,1,5,17,2,5,30,1,5,2,1,5,16,1
27,5,5,5,0,0,36,10.3,28.9444,0,2,0.7,31.1807,5,20,1,5,0,0,5,0,0,5,0,0,5,0,0,5,10,1,5,18,2,5,36,1,5,2,1,5,17,1
28,5,5,5,0,0,39,10.9,28.791,0,2,0.7,31.1807,5,20,1,5,0,0,5,0,0,5,0,0,5,0,0,5,10,1,5,20,2,5,39,1,5,2,1,5,18,1
29,5,5,5,0,0,49,12.5,28.4167,0,2,0.7,31.1807,5,22,1,5,0,0,5,0,0,5,0,0,5,0,0,5,11,1,5,22,2,5,49,1,5,2,1,5,19,1
30,5,5,5,0,0,54,13.3,28.2366,0,2,0.7,31.1807,5,23,1,5,0,0,5,0,0,5,0,0,5,0,0,5,14,1,5,22,2,5,54,1,5,2,1,5,18,1
31,5,5,5,0,0,57,14.3,27.995,0,2,0.7,31.1807,5,26,1,5,0,0,5,0,0,5,0,0,5,0,0,5,15,1,5,23,2,5,57,1,5,1,1,5,21,1
32,5,5,5,0,0,61,15,27.8591,0,1,0.6,31.2121,5,28,1,5,0,0,5,0,0,5,0,0,5,0,0,5,14,1,5,26,1,5,61,1,5,1,1,5,20,1
33,5,5,5,0,0,71,16.4,27.6059,0,1,0.6,31.2121,5,27,1,5,0,0,5,0,0,5,0,0,5,0,0,5,16,1,5,25,1,5,71,1,5,1,1,5,24,1
34,5,5,5,0,0,72,17.2,27.4048,0,1,0.6,31.2121,5,31,1,5,0,0,5,0,0,5,0,0,5,0,0,5,17,1,5,26,1,5,72,1,5,1,1,5,25,1
35,5,5,5,0,0,76,18.3,27.1652,0,1,0.6,31.2121,5,31,1,5,0,0,5,0,0,5,0,0,5,0,0,5,19,1,5,28,1,5,76,1,5,1,1,5,28,1
36,5,5,5,0,0,79,18.8,27.0892,0,1,0.6,31.2121,5,31,1,5,0,0,5,0,0,5,0,0,5,0,0,5,18,1,5,31,1,5,79,1,5,1,1,5,28,1
37,5,5,5,0,0,85,19.7,26.9591,0,1,0.6,31.2121,5,30,1,5,0,0,5,0,0,5,0,0,5,0,0,5,20,1,5,33,1,5,85,1,5,1,1,5,28,1
38,5,5,5,0,0,92,20.9,26.7966,0,1,0.5,31.2437,5,34,1,5,0,0,5,0,0,5,0,0,5,0,0,5,23,1,5,31,1,5,92,1,5,0,0,5,29,1
39,5,5,5,0,0,98,22.2,26.6061,0,1,0.5,31.2437,5,39,1,5,0,0,5,0,0,5,0,0,5,0,0,5,26,1,5,32,1,5,98,1,5,0,0,5,27,1
40,5,5,5,0,0,109,24,26.4341,0,1,0.5,31.2437,5,42,1,5,0,0,5,0,0,5,0,0,5,0,0,5,28,1,5,32,1,5,109,1,5,0,0,5,29,1
41,5,5,5,0,0,114,25.3,26.2566,0,1,0.5,31.2437,5,45,1,5,0,0,5,0,0,5,0,0,5,0,0,5,32,1,5,34,1,5,114,1,5,0,0,5,28,1
