counter,size,nanoseconds,species
DisjointSetsSingle,1,26763,1
DisjointSetsSingle,2,4105,1
DisjointSetsSingle,4,7877,1
DisjointSetsSingle,8,25989,1
DisjointSetsSingle,16,94808,1
DisjointSetsSingle,32,390219,1
DisjointSetsSingle,64,582011,1
DisjointSetsSingle,128,2702403,1
DisjointSetsSingle,256,7745549,1
DisjointSetsSingle,512,16762632,1
DisjointSetsSingle,1024,51623821,1
DisjointSetsSingle,2048,209043837,1
DisjointSetsSingle,4096,850258111,1
DisjointSetsSingle,8192,3364259463,1
DisjointSetsSingle,16384,13738997574,1
DisjointSetsSingle,32768,54076447033,1
DisjointSetsMany,1,7338,1
DisjointSetsMany,2,904,2
DisjointSetsMany,4,1325,4
DisjointSetsMany,8,3728,8
DisjointSetsMany,16,9681,16
DisjointSetsMany,32,32903,32
DisjointSetsMany,64,120311,64
DisjointSetsMany,128,496689,128
DisjointSetsMany,256,2001248,256
DisjointSetsMany,512,7863217,512
DisjointSetsMany,1024,30918452,1024
DisjointSetsMany,2048,126049938,2048
DisjointSetsMany,4096,499882293,4096
DisjointSetsMany,8192,2023075526,8192
DisjointSetsMany,16384,8067713001,16384
DisjointSetsMany,32768,32267099897,32768
DepthFirstSearchSingle,1,24038,1
DepthFirstSearchSingle,2,5067,1
DepthFirstSearchSingle,4,6601,1
DepthFirstSearchSingle,8,7434,1
DepthFirstSearchSingle,16,20289,1
DepthFirstSearchSingle,32,42966,1
DepthFirstSearchSingle,64,113368,1
DepthFirstSearchSingle,128,370760,1
DepthFirstSearchSingle,256,1354716,1
DepthFirstSearchSingle,512,5286869,1
DepthFirstSearchSingle,1024,19357114,1
DepthFirstSearchSingle,2048,80064264,1
DepthFirstSearchSingle,4096,291169728,1
DepthFirstSearchSingle,8192,1191650638,1
DepthFirstSearchSingle,16384,4791566555,1
DepthFirstSearchSingle,32768,19417046503,1
DepthFirstSearchMany,1,18245,1
DepthFirstSearchMany,2,23191,2
DepthFirstSearchMany,4,8413,4
DepthFirstSearchMany,8,30849,8
DepthFirstSearchMany,16,97719,16
DepthFirstSearchMany,32,381657,32
DepthFirstSearchMany,64,1481295,64
DepthFirstSearchMany,128,5873425,128
DepthFirstSearchMany,256,23510638,256
DepthFirstSearchMany,512,93376730,512
DepthFirstSearchMany,1024,382906107,1024
DepthFirstSearchMany,2048,1516953395,2048
DepthFirstSearchMany,4096,5944037680,4096
DepthFirstSearchMany,8192,23975723541,8192
DepthFirstSearchMany,16384,96009448546,16384
DepthFirstSearchMany,32768,391386560618,32768
