counter,size,nanoseconds,species
DisjointSetsSingle,1,16177,1
DisjointSetsSingle,2,3484,1
DisjointSetsSingle,4,6651,1
DisjointSetsSingle,8,21882,1
DisjointSetsSingle,16,79309,1
DisjointSetsSingle,32,315808,1
DisjointSetsSingle,64,1082381,1
DisjointSetsSingle,128,1944929,1
DisjointSetsSingle,256,7539788,1
DisjointSetsSingle,512,20167529,1
DisjointSetsSingle,1024,52923805,1
DisjointSetsSingle,2048,210810282,1
DisjointSetsSingle,4096,900883863,1
DisjointSetsSingle,8192,3361127403,1
DisjointSetsSingle,16384,13768778549,1
DisjointSetsSingle,32768,54986101479,1
DisjointSetsMany,1,5864,1
DisjointSetsMany,2,949,2
DisjointSetsMany,4,1228,4
DisjointSetsMany,8,3367,8
DisjointSetsMany,16,9405,16
DisjointSetsMany,32,32650,32
DisjointSetsMany,64,128614,64
DisjointSetsMany,128,497676,128
DisjointSetsMany,256,1956724,256
DisjointSetsMany,512,7872383,512
DisjointSetsMany,1024,31333565,1024
DisjointSetsMany,2048,126700721,2048
DisjointSetsMany,4096,506770576,4096
DisjointSetsMany,8192,2073909562,8192
DisjointSetsMany,16384,8546199639,16384
DisjointSetsMany,32768,33799336679,32768
DepthFirstSearchSingle,1,16054,1
DepthFirstSearchSingle,2,4914,1
DepthFirstSearchSingle,4,4174,1
DepthFirstSearchSingle,8,6857,1
DepthFirstSearchSingle,16,16757,1
DepthFirstSearchSingle,32,40829,1
DepthFirstSearchSingle,64,109063,1
DepthFirstSearchSingle,128,364896,1
DepthFirstSearchSingle,256,1254309,1
DepthFirstSearchSingle,512,4624717,1
DepthFirstSearchSingle,1024,18004931,1
DepthFirstSearchSingle,2048,72622723,1
DepthFirstSearchSingle,4096,298291098,1
DepthFirstSearchSingle,8192,1195856474,1
DepthFirstSearchSingle,16384,4969128897,1
DepthFirstSearchSingle,32768,19522978997,1
DepthFirstSearchMany,1,20309,1
DepthFirstSearchMany,2,25366,2
DepthFirstSearchMany,4,7603,4
DepthFirstSearchMany,8,27467,8
DepthFirstSearchMany,16,87601,16
DepthFirstSearchMany,32,340163,32
DepthFirstSearchMany,64,1332175,64
DepthFirstSearchMany,128,5292265,128
DepthFirstSearchMany,256,22398452,256
DepthFirstSearchMany,512,85725325,512
DepthFirstSearchMany,1024,359240430,1024
DepthFirstSearchMany,2048,1376205805,2048
DepthFirstSearchMany,4096,5379037359,4096
DepthFirstSearchMany,8192,21395600390,8192
DepthFirstSearchMany,16384,87208454346,16384
DepthFirstSearchMany,32768,350582287748,32768
